rental_date,amount,customer_name,email,film_title,release_year,rental_rate,film_length,rating
2005-06-19 17:52:14,6.99,Justin Ngo,justin.ngo@sakilacustomer.org,Easy Gladiator,2006,4.99,148,G
2005-06-20 19:44:45,2.99,Justin Ngo,justin.ngo@sakilacustomer.org,Santa Paris,2006,2.99,154,PG
2005-06-15 21:39:54,0.99,Terry Grissom,terry.grissom@sakilacustomer.org,Donnie Alley,2006,0.99,125,NC-17
2005-06-16 06:52:05,2.99,Terry Grissom,terry.grissom@sakilacustomer.org,Patriot Roman,2006,2.99,65,PG
2005-06-15 16:59:46,0.99,Gerald Fultz,gerald.fultz@sakilacustomer.org,Congeniality Quest,2006,0.99,87,PG-13
2005-06-18 16:36:38,2.99,Gerald Fultz,gerald.fultz@sakilacustomer.org,Ship Wonderland,2006,2.99,104,R
2005-06-18 18:10:17,4.99,Gerald Fultz,gerald.fultz@sakilacustomer.org,Dangerous Uptown,2006,4.99,121,PG
2005-06-15 05:11:19,5.99,Keith Rico,keith.rico@sakilacustomer.org,Breakfast Goldfinger,2006,4.99,123,G
2005-06-16 19:47:18,1.99,Keith Rico,keith.rico@sakilacustomer.org,Spirited Casualties,2006,0.99,138,PG-13
2005-06-17 09:23:59,1.99,Keith Rico,keith.rico@sakilacustomer.org,Notorious Reunion,2006,0.99,128,NC-17
2005-06-17 22:58:04,6.99,Keith Rico,keith.rico@sakilacustomer.org,Loser Hustler,2006,4.99,80,PG
2005-06-15 19:51:06,2.99,Samuel Marlow,samuel.marlow@sakilacustomer.org,Jade Bunch,2006,2.99,174,NC-17
2005-06-17 05:10:36,0.99,Samuel Marlow,samuel.marlow@sakilacustomer.org,Borrowers Bedazzled,2006,0.99,63,G
2005-06-17 20:00:25,5.99,Samuel Marlow,samuel.marlow@sakilacustomer.org,Searchers Wait,2006,2.99,182,NC-17
2005-06-19 14:53:24,2.99,Samuel Marlow,samuel.marlow@sakilacustomer.org,Spinal Rocky,2006,2.99,138,PG-13
2005-06-19 16:27:35,2.99,Samuel Marlow,samuel.marlow@sakilacustomer.org,Frida Slipper,2006,2.99,73,R
2005-06-21 03:06:11,2.99,Samuel Marlow,samuel.marlow@sakilacustomer.org,Ice Crossing,2006,2.99,131,R
2005-06-15 11:25:06,4.99,Willie Markham,willie.markham@sakilacustomer.org,Driving Polish,2006,4.99,175,NC-17
2005-06-16 18:07:55,1.99,Willie Markham,willie.markham@sakilacustomer.org,Goldmine Tycoon,2006,0.99,153,R
2005-06-18 16:22:03,0.99,Willie Markham,willie.markham@sakilacustomer.org,Alone Trip,2006,0.99,82,R
2005-06-19 15:43:20,4.99,Willie Markham,willie.markham@sakilacustomer.org,Wonderland Christmas,2006,4.99,111,PG
2005-06-15 21:48:35,0.99,Ralph Madrigal,ralph.madrigal@sakilacustomer.org,Tracy Cider,2006,0.99,142,G
2005-06-18 16:24:45,6.99,Ralph Madrigal,ralph.madrigal@sakilacustomer.org,Network Peak,2006,2.99,75,PG-13
2005-06-19 02:08:10,3.99,Ralph Madrigal,ralph.madrigal@sakilacustomer.org,Angels Life,2006,2.99,74,G
2005-06-19 18:19:33,6.99,Ralph Madrigal,ralph.madrigal@sakilacustomer.org,Forrester Comancheros,2006,4.99,112,NC-17
2005-06-18 12:53:25,4.99,Lawrence Lawton,lawrence.lawton@sakilacustomer.org,Quills Bull,2006,4.99,112,R
2005-06-19 03:09:16,1.99,Lawrence Lawton,lawrence.lawton@sakilacustomer.org,Orange Grapes,2006,0.99,76,PG-13
2005-06-19 23:07:03,2.99,Lawrence Lawton,lawrence.lawton@sakilacustomer.org,Invasion Cyclone,2006,2.99,97,PG
2005-06-21 07:34:14,2.99,Lawrence Lawton,lawrence.lawton@sakilacustomer.org,Fury Murder,2006,0.99,178,PG-13
2005-06-15 18:24:10,2.99,Nicholas Barfield,nicholas.barfield@sakilacustomer.org,Tomorrow Hustler,2006,2.99,142,R
2005-06-16 00:37:35,2.99,Nicholas Barfield,nicholas.barfield@sakilacustomer.org,Gone Trouble,2006,2.99,84,R
2005-06-16 07:00:28,2.99,Nicholas Barfield,nicholas.barfield@sakilacustomer.org,Story Side,2006,0.99,163,R
2005-06-21 00:07:23,2.99,Nicholas Barfield,nicholas.barfield@sakilacustomer.org,Halloween Nuts,2006,2.99,47,PG-13
2005-06-21 15:14:27,2.99,Nicholas Barfield,nicholas.barfield@sakilacustomer.org,Giant Troopers,2006,2.99,102,R
2005-06-15 18:16:24,4.99,Roy Whiting,roy.whiting@sakilacustomer.org,Waterfront Deliverance,2006,4.99,61,G
2005-06-16 03:19:09,4.99,Roy Whiting,roy.whiting@sakilacustomer.org,Streetcar Intentions,2006,4.99,73,R
2005-06-17 00:05:22,4.99,Roy Whiting,roy.whiting@sakilacustomer.org,Dying Maker,2006,4.99,168,PG
2005-06-19 02:04:48,4.99,Roy Whiting,roy.whiting@sakilacustomer.org,Velvet Terminator,2006,4.99,173,R
2005-06-21 06:08:47,2.99,Roy Whiting,roy.whiting@sakilacustomer.org,Sweet Brotherhood,2006,2.99,185,R
2005-06-16 15:12:52,2.99,Benjamin Varney,benjamin.varney@sakilacustomer.org,Instinct Airport,2006,2.99,116,PG
2005-06-18 18:49:18,2.99,Benjamin Varney,benjamin.varney@sakilacustomer.org,Telemark Heartbreakers,2006,2.99,152,PG-13
2005-06-19 06:51:32,4.99,Benjamin Varney,benjamin.varney@sakilacustomer.org,Tourist Pelican,2006,4.99,152,PG-13
2005-06-19 23:15:15,4.99,Benjamin Varney,benjamin.varney@sakilacustomer.org,October Submarine,2006,4.99,54,PG-13
2005-06-20 07:31:55,3.99,Benjamin Varney,benjamin.varney@sakilacustomer.org,Pajama Jawbreaker,2006,0.99,126,R
2005-06-15 09:55:57,1.99,Bruce Schwarz,bruce.schwarz@sakilacustomer.org,Hours Rage,2006,0.99,122,NC-17
2005-06-16 04:08:16,6.99,Bruce Schwarz,bruce.schwarz@sakilacustomer.org,Roses Treasure,2006,4.99,162,PG-13
2005-06-17 10:22:13,4.99,Bruce Schwarz,bruce.schwarz@sakilacustomer.org,Home Pity,2006,4.99,185,R
2005-06-19 00:48:22,2.99,Bruce Schwarz,bruce.schwarz@sakilacustomer.org,Escape Metropolis,2006,2.99,167,R
2005-06-20 21:03:46,0.99,Bruce Schwarz,bruce.schwarz@sakilacustomer.org,Jedi Beneath,2006,0.99,128,PG
2005-06-15 16:30:22,1.99,Brandon Huey,brandon.huey@sakilacustomer.org,Tights Dawn,2006,0.99,172,R
2005-06-18 02:44:37,0.99,Brandon Huey,brandon.huey@sakilacustomer.org,Lose Inch,2006,0.99,137,R
2005-06-20 15:09:48,0.99,Adam Gooch,adam.gooch@sakilacustomer.org,Siege Madre,2006,0.99,111,R
2005-06-15 00:56:45,0.99,Harry Arce,harry.arce@sakilacustomer.org,Frost Head,2006,0.99,82,PG
2005-06-15 22:53:30,9.99,Harry Arce,harry.arce@sakilacustomer.org,Dude Blindness,2006,4.99,132,G
2005-06-19 01:20:49,4.99,Harry Arce,harry.arce@sakilacustomer.org,Coma Head,2006,4.99,109,NC-17
2005-06-19 13:17:21,4.99,Harry Arce,harry.arce@sakilacustomer.org,Boiled Dares,2006,4.99,102,PG
2005-06-19 16:20:40,4.99,Harry Arce,harry.arce@sakilacustomer.org,Wonderland Christmas,2006,4.99,111,PG
2005-06-21 05:33:04,4.99,Harry Arce,harry.arce@sakilacustomer.org,Kwai Homeward,2006,0.99,46,PG-13
2005-06-15 03:44:25,0.99,Fred Wheat,fred.wheat@sakilacustomer.org,Gables Metropolis,2006,0.99,161,PG
2005-06-15 01:05:32,6.99,Wayne Truong,wayne.truong@sakilacustomer.org,Massacre Usual,2006,4.99,165,R
2005-06-15 03:03:33,2.99,Billy Poulin,billy.poulin@sakilacustomer.org,Shock Cabin,2006,2.99,79,PG-13
2005-06-15 03:24:44,1.99,Billy Poulin,billy.poulin@sakilacustomer.org,Banger Pinocchio,2006,0.99,113,R
2005-06-16 03:31:39,6.99,Billy Poulin,billy.poulin@sakilacustomer.org,World Leathernecks,2006,0.99,171,PG-13
2005-06-16 11:04:47,5.99,Billy Poulin,billy.poulin@sakilacustomer.org,Peak Forever,2006,4.99,80,PG
2005-06-19 22:03:50,0.99,Billy Poulin,billy.poulin@sakilacustomer.org,Bound Cheaper,2006,0.99,98,PG
2005-06-20 22:31:54,3.99,Billy Poulin,billy.poulin@sakilacustomer.org,Hope Tootsie,2006,2.99,139,NC-17
2005-06-21 15:23:08,0.99,Billy Poulin,billy.poulin@sakilacustomer.org,Mourning Purple,2006,0.99,146,PG
2005-06-18 09:03:39,2.99,Steve Mackenzie,steve.mackenzie@sakilacustomer.org,Murder Antitrust,2006,2.99,166,PG
2005-06-20 07:07:54,4.99,Steve Mackenzie,steve.mackenzie@sakilacustomer.org,Trip Newton,2006,4.99,64,PG-13
2005-06-21 06:19:07,3.99,Steve Mackenzie,steve.mackenzie@sakilacustomer.org,Suspects Quills,2006,2.99,47,PG
2005-06-15 20:54:55,6.99,Louis Leone,louis.leone@sakilacustomer.org,Unbreakable Karate,2006,0.99,62,G
2005-06-20 21:21:01,2.99,Louis Leone,louis.leone@sakilacustomer.org,Exorcist Sting,2006,2.99,167,G
2005-06-16 01:43:33,1.99,Jeremy Hurtado,jeremy.hurtado@sakilacustomer.org,Impact Aladdin,2006,0.99,180,PG-13
2005-06-17 14:39:50,1.99,Jeremy Hurtado,jeremy.hurtado@sakilacustomer.org,Crooked Frogmen,2006,0.99,143,PG-13
2005-06-18 21:32:54,4.99,Jeremy Hurtado,jeremy.hurtado@sakilacustomer.org,Sleepless Monsoon,2006,4.99,64,G
2005-06-19 09:38:33,2.99,Jeremy Hurtado,jeremy.hurtado@sakilacustomer.org,Balloon Homeward,2006,2.99,75,NC-17
2005-06-15 16:38:53,2.99,Aaron Selby,aaron.selby@sakilacustomer.org,Muscle Bright,2006,2.99,185,G
2005-06-15 21:58:07,5.99,Aaron Selby,aaron.selby@sakilacustomer.org,Arachnophobia Rollercoaster,2006,2.99,147,PG-13
2005-06-18 04:12:33,4.99,Aaron Selby,aaron.selby@sakilacustomer.org,Sweden Shining,2006,4.99,176,PG
2005-06-15 02:30:03,0.99,Randy Gaither,randy.gaither@sakilacustomer.org,Coast Rainbow,2006,0.99,55,PG
2005-06-19 18:19:07,0.99,Randy Gaither,randy.gaither@sakilacustomer.org,Detective Vision,2006,0.99,143,PG-13
2005-06-19 03:07:32,3.99,Howard Fortner,howard.fortner@sakilacustomer.org,Angels Life,2006,2.99,74,G
2005-06-20 15:22:32,1.99,Howard Fortner,howard.fortner@sakilacustomer.org,Anaconda Confessions,2006,0.99,92,R
2005-06-20 15:42:40,0.99,Howard Fortner,howard.fortner@sakilacustomer.org,Westward Seabiscuit,2006,0.99,52,NC-17
2005-06-20 19:39:08,2.99,Howard Fortner,howard.fortner@sakilacustomer.org,Robbers Joon,2006,2.99,102,PG-13
2005-06-21 20:19:00,4.99,Howard Fortner,howard.fortner@sakilacustomer.org,Gilmore Boiled,2006,0.99,163,R
2005-06-16 07:48:50,4.99,Eugene Culpepper,eugene.culpepper@sakilacustomer.org,Wizard Coldblooded,2006,4.99,75,PG
2005-06-16 10:13:35,5.99,Eugene Culpepper,eugene.culpepper@sakilacustomer.org,Secret Groundhog,2006,4.99,90,PG
2005-06-17 21:13:44,7.99,Eugene Culpepper,eugene.culpepper@sakilacustomer.org,Gorgeous Bingo,2006,2.99,108,R
2005-06-19 14:23:09,4.99,Eugene Culpepper,eugene.culpepper@sakilacustomer.org,Super Wyoming,2006,4.99,58,PG
2005-06-15 15:20:06,8.99,Carlos Coughlin,carlos.coughlin@sakilacustomer.org,Enemy Odds,2006,4.99,77,NC-17
2005-06-18 08:56:45,5.99,Carlos Coughlin,carlos.coughlin@sakilacustomer.org,Pollock Deliverance,2006,2.99,137,PG
2005-06-20 04:37:45,2.99,Carlos Coughlin,carlos.coughlin@sakilacustomer.org,Divide Monster,2006,2.99,68,PG-13
2005-06-17 02:03:22,3.99,Russell Brinson,russell.brinson@sakilacustomer.org,Lock Rear,2006,2.99,120,R
2005-06-17 10:25:28,2.99,Russell Brinson,russell.brinson@sakilacustomer.org,Rugrats Shakespeare,2006,0.99,109,PG-13
2005-06-17 12:35:58,3.99,Russell Brinson,russell.brinson@sakilacustomer.org,Ending Crowds,2006,0.99,85,NC-17
2005-06-18 18:41:09,2.99,Russell Brinson,russell.brinson@sakilacustomer.org,Northwest Polish,2006,2.99,172,PG
2005-06-18 20:06:05,4.99,Russell Brinson,russell.brinson@sakilacustomer.org,Bubble Grosse,2006,4.99,60,R
2005-06-20 09:30:22,1.99,Russell Brinson,russell.brinson@sakilacustomer.org,English Bulworth,2006,0.99,51,PG-13
2005-06-20 16:44:33,1.99,Russell Brinson,russell.brinson@sakilacustomer.org,Sorority Queen,2006,0.99,184,NC-17
2005-06-21 03:59:13,4.99,Russell Brinson,russell.brinson@sakilacustomer.org,Show Lord,2006,4.99,167,PG-13
2005-06-15 16:31:08,3.99,Bobby Boudreau,bobby.boudreau@sakilacustomer.org,Holy Tadpole,2006,0.99,88,R
2005-06-17 02:55:32,1.99,Bobby Boudreau,bobby.boudreau@sakilacustomer.org,Ridgemont Submarine,2006,0.99,46,PG-13
2005-06-18 16:55:08,2.99,Bobby Boudreau,bobby.boudreau@sakilacustomer.org,Bear Graceland,2006,2.99,160,R
2005-06-18 17:14:42,4.99,Bobby Boudreau,bobby.boudreau@sakilacustomer.org,Mulan Moon,2006,0.99,160,G
2005-06-21 18:07:07,2.99,Bobby Boudreau,bobby.boudreau@sakilacustomer.org,Wrong Behavior,2006,2.99,178,PG-13
2005-06-18 15:27:47,0.99,Victor Barkley,victor.barkley@sakilacustomer.org,Club Graffiti,2006,0.99,65,PG-13
2005-06-18 20:23:52,4.99,Victor Barkley,victor.barkley@sakilacustomer.org,Hanover Galaxy,2006,4.99,47,NC-17
2005-06-18 22:00:44,1.99,Victor Barkley,victor.barkley@sakilacustomer.org,Sweethearts Suspects,2006,0.99,108,G
2005-06-18 23:56:44,2.99,Victor Barkley,victor.barkley@sakilacustomer.org,Mask Peach,2006,2.99,123,NC-17
2005-06-20 18:31:58,4.99,Victor Barkley,victor.barkley@sakilacustomer.org,Requiem Tycoon,2006,4.99,167,R
2005-06-16 22:22:17,7.99,Martin Bales,martin.bales@sakilacustomer.org,Metropolis Coma,2006,2.99,64,PG-13
2005-06-18 03:44:50,2.99,Martin Bales,martin.bales@sakilacustomer.org,Butterfly Chocolat,2006,0.99,89,G
2005-06-18 05:05:18,2.99,Martin Bales,martin.bales@sakilacustomer.org,Horn Working,2006,2.99,95,PG
2005-06-18 09:13:54,2.99,Martin Bales,martin.bales@sakilacustomer.org,Labyrinth League,2006,2.99,46,PG-13
2005-06-19 07:13:12,7.99,Martin Bales,martin.bales@sakilacustomer.org,Jingle Sagebrush,2006,4.99,124,PG-13
2005-06-20 16:02:59,2.99,Martin Bales,martin.bales@sakilacustomer.org,Crazy Home,2006,2.99,136,PG
2005-06-17 09:02:58,0.99,Ernest Stepp,ernest.stepp@sakilacustomer.org,None Spiking,2006,0.99,83,NC-17
2005-06-17 12:39:50,0.99,Ernest Stepp,ernest.stepp@sakilacustomer.org,Highball Potter,2006,0.99,110,R
2005-06-18 14:57:49,7.99,Ernest Stepp,ernest.stepp@sakilacustomer.org,Name Detective,2006,4.99,178,PG-13
2005-06-18 23:44:21,5.99,Ernest Stepp,ernest.stepp@sakilacustomer.org,Stagecoach Armageddon,2006,4.99,112,R
2005-06-20 05:07:24,3.99,Ernest Stepp,ernest.stepp@sakilacustomer.org,Motions Details,2006,0.99,166,PG
2005-06-20 15:56:05,9.99,Ernest Stepp,ernest.stepp@sakilacustomer.org,Pelican Comforts,2006,4.99,48,PG
2005-06-20 16:48:58,4.99,Ernest Stepp,ernest.stepp@sakilacustomer.org,Greatest North,2006,2.99,93,NC-17
2005-06-16 16:41:19,2.99,Phillip Holm,phillip.holm@sakilacustomer.org,Vacation Boondock,2006,2.99,145,R
2005-06-17 07:16:46,0.99,Phillip Holm,phillip.holm@sakilacustomer.org,Encino Elf,2006,0.99,143,G
2005-06-20 17:11:46,0.99,Phillip Holm,phillip.holm@sakilacustomer.org,Annie Identity,2006,0.99,86,G
2005-06-16 04:51:13,3.99,Todd Tan,todd.tan@sakilacustomer.org,Graduate Lord,2006,2.99,156,G
2005-06-16 06:28:57,2.99,Todd Tan,todd.tan@sakilacustomer.org,Maude Mod,2006,0.99,72,R
2005-06-16 21:32:50,5.99,Todd Tan,todd.tan@sakilacustomer.org,Gone Trouble,2006,2.99,84,R
2005-06-19 15:19:39,0.99,Todd Tan,todd.tan@sakilacustomer.org,Chainsaw Uptown,2006,0.99,114,PG
2005-06-21 11:21:39,2.99,Todd Tan,todd.tan@sakilacustomer.org,Gangs Pride,2006,2.99,185,PG-13
2005-06-15 20:38:14,0.99,Jesse Schilling,jesse.schilling@sakilacustomer.org,Tomatoes Hellfighters,2006,0.99,68,PG
2005-06-15 20:43:08,0.99,Jesse Schilling,jesse.schilling@sakilacustomer.org,Chainsaw Uptown,2006,0.99,114,PG
2005-06-17 16:11:46,0.99,Jesse Schilling,jesse.schilling@sakilacustomer.org,Unforgiven Zoolander,2006,0.99,129,PG
2005-06-17 18:53:21,0.99,Jesse Schilling,jesse.schilling@sakilacustomer.org,Juggler Hardly,2006,0.99,54,PG-13
2005-06-20 08:35:17,5.99,Jesse Schilling,jesse.schilling@sakilacustomer.org,Campus Remember,2006,2.99,167,R
2005-06-21 13:51:28,4.99,Jesse Schilling,jesse.schilling@sakilacustomer.org,Airplane Sierra,2006,4.99,62,PG-13
2005-06-15 08:00:13,6.99,Craig Morrell,craig.morrell@sakilacustomer.org,Forrester Comancheros,2006,4.99,112,NC-17
2005-06-17 22:10:36,0.99,Craig Morrell,craig.morrell@sakilacustomer.org,Banger Pinocchio,2006,0.99,113,R
2005-06-19 01:52:21,5.99,Craig Morrell,craig.morrell@sakilacustomer.org,Scalawag Duck,2006,4.99,183,NC-17
2005-06-19 13:08:19,4.99,Craig Morrell,craig.morrell@sakilacustomer.org,Prejudice Oleander,2006,4.99,98,PG-13
2005-06-20 21:11:50,7.99,Craig Morrell,craig.morrell@sakilacustomer.org,Airplane Sierra,2006,4.99,62,PG-13
2005-06-16 17:51:01,4.99,Alan Kahn,alan.kahn@sakilacustomer.org,Hollow Jeopardy,2006,4.99,136,NC-17
2005-06-17 07:58:39,4.99,Alan Kahn,alan.kahn@sakilacustomer.org,Ladybugs Armageddon,2006,0.99,113,NC-17
2005-06-19 03:01:29,3.99,Alan Kahn,alan.kahn@sakilacustomer.org,Chill Luck,2006,0.99,142,PG
2005-06-16 01:11:25,5.99,Shawn Heaton,shawn.heaton@sakilacustomer.org,Bear Graceland,2006,2.99,160,R
2005-06-16 15:30:01,2.99,Shawn Heaton,shawn.heaton@sakilacustomer.org,Fantasia Park,2006,2.99,131,G
2005-06-17 04:18:37,2.99,Shawn Heaton,shawn.heaton@sakilacustomer.org,Robbers Joon,2006,2.99,102,PG-13
2005-06-18 10:41:19,7.99,Shawn Heaton,shawn.heaton@sakilacustomer.org,Vampire Whale,2006,4.99,126,NC-17
2005-06-20 20:25:17,5.99,Shawn Heaton,shawn.heaton@sakilacustomer.org,Chamber Italian,2006,4.99,117,NC-17
2005-06-15 04:18:10,0.99,Clarence Gamez,clarence.gamez@sakilacustomer.org,Mourning Purple,2006,0.99,146,PG
2005-06-17 06:51:56,0.99,Clarence Gamez,clarence.gamez@sakilacustomer.org,Feud Frogmen,2006,0.99,98,R
2005-06-17 14:38:11,2.99,Clarence Gamez,clarence.gamez@sakilacustomer.org,Carrie Bunch,2006,0.99,114,PG
2005-06-19 13:00:02,2.99,Clarence Gamez,clarence.gamez@sakilacustomer.org,Fantasy Troopers,2006,0.99,58,PG-13
2005-06-20 21:22:13,2.99,Clarence Gamez,clarence.gamez@sakilacustomer.org,Mile Mulan,2006,0.99,64,PG
2005-06-16 00:38:07,6.99,Sean Douglass,sean.douglass@sakilacustomer.org,Lolita World,2006,2.99,155,NC-17
2005-06-16 17:51:54,2.99,Sean Douglass,sean.douglass@sakilacustomer.org,Clash Freddy,2006,2.99,81,G
2005-06-18 07:29:43,2.99,Sean Douglass,sean.douglass@sakilacustomer.org,Hunting Musketeers,2006,2.99,65,NC-17
2005-06-20 02:00:45,4.99,Sean Douglass,sean.douglass@sakilacustomer.org,Rush Goodfellas,2006,0.99,48,PG
2005-06-16 06:41:35,6.99,Philip Causey,philip.causey@sakilacustomer.org,Greatest North,2006,2.99,93,NC-17
2005-06-17 05:28:28,1.99,Philip Causey,philip.causey@sakilacustomer.org,Midnight Westward,2006,0.99,86,G
